ligand name,Ki(nm),Log(Ki),Log(O/W),CNS,QPlogS,mol_MW,QPlogBB,QPlogKhsa,PSA,IFD,MMGBSA
THC,1000,3,5.64,0,-6.672,314.467,-0.103,1.225,25.949,-8.925,-47.6959
CBD,167,2.222716471,5.38,0,-6.155,314.467,-0.474,1.066,38.177,-9.419,-49.6266
BMS-309403,21,1.322219295,5.64,-1,-7.77,474.558,-0.873,1.479,74.587,-13.865,-62.9611
AM-404,29,1.462397998,6.87,-2,-8.354,395.584,-1.669,1.338,57.795,-12.45,-56.3212
SCPI4,33,1.51851394,4.47,2,-5.339,363.55,0.585,0.365,28.937,-11.105,nan
VDM11,37,1.568201724,7.14,-2,-8.041,409.611,-1.572,1.512,55.703,-11.534,-54.3661
OMDM-2,40,1.602059991,5.51,-2,-5.904,431.657,-2.188,0.564,77.057,-10.95,-59.7882
OMDM-1,40,1.602059991,5.51,-2,-6.275,431.657,-2.111,0.558,70.412,-10.905,-59.027
2-OG,40,1.602059991,4.86,-2,-5.596,356.545,-2.21,0.497,77.892,-9.83,-48.6365
OEA,43,1.633468456,4.46,-2,-4.708,325.534,-1.489,0.219,54.99,-9.81,-49.0593
JWH-018,58,1.763427994,6.17,0,-6.22,341.452,-0.078,1.2,24.03,-11.4,-50.8677
2-AG,61,1.785329835,5.34,-2,-6.635,378.551,-2.331,0.744,79.989,-9.16,-56.7627
2-PG,70,1.84509804,4.14,-2,-4.929,330.507,-1.991,0.2,70.563,-9.502,-50.7333
AEA,111,2.045322979,4.94,-2,-5.412,347.54,-1.434,0.435,54.99,-9.527,-51.007
DHEA,163,2.212187604,5.17,-2,-4.395,371.562,-1.372,0.574,58.761,-9.415,-54.638
SCPI1,350,2.544068044,4.53,1,-6.47,378.275,0.024,0.503,58.049,-8.925,-43.9896
EPEA,390,2.591064607,4.62,-2,-4.646,345.524,-1.397,0.372,59.151,-8.781,-48.6556
SCPI-3,900,2.954242509,2.77,-1,-4.341,364.155,-0.761,0.154,86.775,-8.1,-40.1747
